"","CASEID","NEWRACE2","IRSEX","CATAG6","MJEVER"
"574",574,4,2,2,2
"575",575,2,1,4,2
"576",576,1,2,4,1
"577",577,1,1,4,2
"578",578,1,2,1,2
"579",579,2,2,3,1
"580",580,1,1,1,2
"581",581,1,2,3,1
"582",582,1,1,4,2
"583",583,5,1,3,2
"584",584,1,2,4,2
"585",585,7,2,2,1
"586",586,1,2,3,2
"587",587,1,1,1,2
"588",588,7,1,4,2
"589",589,1,2,1,1
"590",590,1,1,2,1
"591",591,2,1,2,2
"592",592,1,2,5,1
"593",593,1,1,6,2
"594",594,1,1,3,1
"595",595,1,2,6,1
"596",596,1,2,4,2
"597",597,1,1,2,1
"598",598,1,2,6,2
"599",599,1,1,6,1
"600",600,1,1,6,2
"601",601,1,2,1,2
"602",602,1,2,3,2
"603",603,5,1,2,2
"604",604,7,1,1,1
"605",605,2,1,2,1
"606",606,1,1,3,1
"607",607,1,1,3,1
"608",608,1,1,6,2
"609",609,1,1,4,1
"610",610,3,2,2,1
"611",611,1,2,3,1
"612",612,1,1,4,2
"613",613,1,1,4,1
"614",614,1,1,1,2
"615",615,1,1,5,2
"616",616,1,2,1,2
"617",617,1,1,2,2
"618",618,1,2,4,2
"619",619,1,1,2,1
"620",620,1,2,5,1
"621",621,1,1,1,1
"622",622,7,2,4,1
"623",623,1,1,6,2
"624",624,1,1,2,2
"625",625,1,1,1,2
"626",626,2,1,4,1
"627",627,1,1,2,2
"628",628,1,2,4,2
"629",629,1,2,5,2
"630",630,1,1,2,2
"631",631,2,2,2,1
"632",632,1,1,4,2
"633",633,1,2,2,2
"634",634,1,2,3,2
"635",635,7,1,2,1
"636",636,1,2,1,1
"637",637,1,2,5,2
"638",638,1,2,2,2
"639",639,7,1,3,1
"640",640,5,2,3,1
"641",641,2,2,1,2
"642",642,1,2,1,2
"643",643,1,1,1,2
"644",644,1,1,4,1
"645",645,1,1,3,2
"646",646,1,1,4,2
"647",647,1,1,4,2
"648",648,1,2,1,2
"649",649,2,2,2,1
"650",650,1,1,6,1
"651",651,1,2,6,2
"652",652,1,1,5,2
"653",653,1,2,5,2
"654",654,7,1,4,2
"655",655,1,2,4,1
"656",656,2,1,2,1
"657",657,7,2,3,1
"658",658,1,2,3,1
"659",659,1,2,4,1
"660",660,1,2,1,2
"661",661,1,1,1,1
"662",662,1,2,6,2
"663",663,1,2,4,2
"664",664,1,1,3,1
"665",665,6,2,5,1
"666",666,2,1,2,1
"667",667,1,1,3,2
"668",668,1,2,1,2
"669",669,1,1,5,1
"670",670,6,2,1,2
"671",671,6,2,2,2
"672",672,1,1,2,2
"673",673,7,1,1,2
"674",674,6,2,3,2
"675",675,1,1,6,2
"676",676,1,2,2,2
"677",677,2,2,3,2
"678",678,1,1,3,1
"679",679,1,1,1,2
"680",680,1,2,1,2
"681",681,1,1,5,2
"682",682,7,1,4,1
"683",683,1,2,6,2
"684",684,1,2,5,2
"685",685,1,2,2,1
"686",686,1,2,5,2
"687",687,1,2,1,2
"688",688,1,1,3,2
"689",689,2,2,6,1
"690",690,1,1,1,2
"691",691,1,2,1,2
"692",692,2,2,4,2
"693",693,1,2,2,1
"694",694,7,1,1,2
"695",695,7,1,3,2
"696",696,1,1,6,2
"697",697,1,1,2,2
"698",698,2,1,6,2
"699",699,2,2,4,2
"700",700,1,2,1,2
"701",701,7,1,4,2
"702",702,1,2,1,2
"703",703,1,2,1,2
"704",704,5,2,3,2
"705",705,1,1,4,2
"706",706,3,1,1,2
"707",707,2,2,4,2
"708",708,7,2,4,1
"709",709,1,1,2,1
"710",710,1,1,1,2
"711",711,7,2,3,2
"712",712,2,1,3,2
"713",713,1,2,2,1
"714",714,7,2,1,2
"715",715,1,1,2,1
"716",716,1,1,6,2
"717",717,7,2,1,1
"718",718,2,1,2,2
